song,artist,source,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,kmeans7_cluster
Levitating (feat. DaBaby),Dua Lipa,not_hot,4daEMLSZCgZ2Mt7gNm2SRa,-0.31403959186860697,-0.1572761117725671,-1.1911694474848815,-0.5473301934600038,-1.1491117425440602,1.6231040477080902,0.9902469851611314,-0.1596569857072714,-0.20994167687841275,-0.5234195634195331,0.2979817308065074,audio_features,4daEMLSZCgZ2Mt7gNm2SRa,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/tracks/4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/audio-analysis/4daEMLSZCgZ2Mt7gNm2SRa,192727,0.11849181375706473,1
Qué Más Pues?,"J Balvin, Maria Becerra",not_hot,1Qrg8KqiBpW07V7PNxwwwL,-0.2856571706496742,0.6255117094534575,0.7506163251990157,0.24909721408635682,0.8702373868237248,-0.7427169993790718,-0.7731352696585253,1.6983100304562444,-0.1463191568906387,-0.41234870669425194,-1.1545511603361702,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,0.11849181375706473,0
Permission to Dance,BTS,not_hot,4iZ4pt7kvcaH6Yo8UoZ4s2,-0.8887836215519949,-0.5176070136067684,-0.08157757737979739,-0.35176616811943817,0.8702373868237248,0.08697260150578041,-0.41677090854584636,-0.1596888555492744,-0.5068467701546914,-0.5278623976885444,0.6743762684702943,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,0.11849181375706473,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,not_hot,2dHHgzDwk4BJdRwy9uXhTO,0.21813080598638176,-0.08893749245918393,-1.1911694474848815,0.1446344427864275,-1.1491117425440602,-0.6596587293227841,0.6896021360784438,-0.1596888555492744,-0.7033696652280377,-1.50528593687102,-0.8509034399616611,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,0.11849181375706473,2
Butter,BTS,not_hot,6jjYDGxVJsWS0a5wlVF5vS,0.5303374393946423,-1.0891663751368819,0.7506163251990157,0.4758381130319397,0.8702373868237248,-0.2452604787193704,-0.9690354533208044,-0.1596888555492744,-0.7274048394456412,0.8183163858218649,-0.44309473457128074,audio_features,6jjYDGxVJsWS0a5wlVF5vS,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,164952,0.11849181375706473,0
traitor,Olivia Rodrigo,not_hot,0JXXNGljqupsJaZsgSbMZV,-0.0018329584603464608,-0.1697013152840913,1.5828102277778289,-0.7145516064323714,-1.1491117425440602,-0.19881929546209118,-0.8749536585478621,-0.15572770514647097,0.06575590973527458,-0.05692196517335166,-1.4246520701319574,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,0.11849181375706473,2
deja vu,Olivia Rodrigo,not_hot,5twSy6ffBrF03mnNUsUgJZ,-1.2790419133123205,0.8491653726608932,0.19582039014647365,0.8629172190890423,0.8702373868237248,-0.807020176196843,-0.9326774695717381,-0.15944499319548616,-0.7330601745556655,0.19631958816028997,1.1813697922215793,audio_features,5twSy6ffBrF03mnNUsUgJZ,spotify:track:5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/tracks/5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/audio-analysis/5twSy6ffBrF03mnNUsUgJZ,197400,0.11849181375706473,0
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,not_hot,0V3wPSX9ygBnCm8psDIegu,-0.3353264077828066,0.05395234792334448,-0.3589755449060684,-0.08453582293357241,0.8702373868237248,-0.6284002405919232,-0.46086548641130715,-0.15966563056319935,-0.2806333657537172,0.09857723424204233,-0.8827915283220613,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,0.11849181375706473,0
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",not_hot,3WMj8moIAXJhHsyLaqIIHI,-2.236948629451301,-2.7479310439253624,-0.3589755449060684,-2.343846923141346,-1.1491117425440602,-0.7346791022768505,1.2427886583905892,-0.15958111741942616,-0.6100566359126358,-1.61191395932729,1.7645291321203154,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,-3.1390288966490187,3
Need To Know,Doja Cat,not_hot,3Vi5XqYrmQgOYBajMWSvCi,-0.14374506455501035,-0.1572761117725671,-1.1911694474848815,-0.05943236626459739,0.8702373868237248,-0.4604975011232987,0.2366305634605279,-0.1596888555492744,-0.6298503087977211,-1.4075435829527725,0.23542420714406628,audio_features,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,210560,0.11849181375706473,0
Volando - Remix,"Mora, Bad Bunny, Sech",not_hot,5W4kiM2cUYBJXKRudNyxjW,0.33875609616684604,1.2716222920527156,1.0280142927252867,0.5487191162644488,0.8702373868237248,-0.7837995845682033,0.08029524193753047,-0.1596888555492744,2.9711843225102865,0.5250893240671225,-0.1138214484973841,audio_features,5W4kiM2cUYBJXKRudNyxjW,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,0.11849181375706473,6
drivers license,Olivia Rodrigo,not_hot,0PAcdVzhPO4gq1Iym9ESnK,-0.20050990699287588,0.7621889480802237,-0.6363735124323394,0.2377601691390775,-1.1491117425440602,-0.8168442726551135,0.9902469851611314,-0.1596888555492744,-0.4573625879419782,-0.36347752973512815,0.5715693424081554,audio_features,0PAcdVzhPO4gq1Iym9ESnK,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK,177388,0.11849181375706473,2
Heat Waves,Glass Animals,not_hot,7FbrGaHYVDmfr7KoLIZnQ7,0.7006319667082389,-0.2628903416205229,1.5828102277778289,-0.7975549712249509,-1.1491117425440602,-0.7963029800605477,0.7617568998582889,-0.15963530905360132,1.1685462561900235,0.9560442481612139,-0.10386911518745046,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,0.11849181375706473,2
Blinding Lights,The Weeknd,not_hot,3fDTzkvrOo5xQIO480Qmsb,-1.037791332951392,0.9237165937300384,1.5828102277778289,1.5374713934521518,-1.1491117425440602,0.8907623117279192,-0.9366860675595073,-0.1596888555492744,0.7019811096130146,0.18743391962226746,-1.6146603928144678,audio_features,3fDTzkvrOo5xQIO480Qmsb,spotify:track:3fDTzkvrOo5xQIO480Qmsb,https://api.spotify.com/v1/tracks/3fDTzkvrOo5xQIO480Qmsb,https://api.spotify.com/v1/audio-analysis/3fDTzkvrOo5xQIO480Qmsb,259080,0.11849181375706473,2
